Restaurant ID,Name,Cuisine,Locality,City,Rating,Total Number Ratings,Delivery
16577492,Chin Chin,"Thai, Asian Fusion",CBD,Melbourne,4.6,3206,No
16585905,Tipo 00,Italian,CBD,Melbourne,4.9,721,No
16577212,Beatrix,"Coffee and Tea, Bakery",North Melbourne,Melbourne,4.9,384,No
16583098,Lune Croissanterie,"Bakery, French",Fitzroy,Melbourne,4.9,753,No
16573665,The Hardware Societe,"French, Cafe Food, Coffee and Tea",CBD,Melbourne,4.6,2103,No
16582897,Supernormal,"Asian, Fusion",CBD,Melbourne,4.5,1022,No
18423923,Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",Carlton,Melbourne,4.8,829,No
16582887,Rice Paper Scissors,"Asian Fusion, Tapas",CBD,Melbourne,4.8,991,Yes
16582069,Jinda Thai Restaurant,Thai,Abbotsford,Melbourne,4.7,1034,No
18449476,Calia,"Japanese, Australian, Asian",Emporium Melbourne,Melbourne,4.5,676,Yes
18515006,Kisumé,Japanese,CBD,Melbourne,4.5,534,No
16581560,Operator25,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.3,818,No
16577214,Manchester Press,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.4,1143,No
16582573,Mr. Miyagi,"Asian, Japanese",Windsor,Melbourne,4.7,907,No
16575238,Mamasita,"Latin American, Mexican",CBD,Melbourne,4.4,1826,No
16713362,Serotonin Eatery,"Cafe Food, Healthy Food, Vegan",Richmond,Melbourne,4.6,901,Yes
18316755,Higher Ground,"Cafe Food, Coffee and Tea",CBD,Melbourne,4.2,843,No
16585400,Hakata Gensuke Ramen Professionals,"Ramen, Japanese",CBD,Melbourne,4.7,844,No
16580028,Wonderbao,"Chinese, Taiwanese",CBD,Melbourne,4.7,773,No
16578739,ChangGo,"Korean BBQ, Korean",CBD,Melbourne,4.5,414,No
16581005,Top Paddock,"Coffee and Tea, Cafe Food",Richmond,Melbourne,4.5,1474,No
16578345,San Telmo,Steak,CBD,Melbourne,4.6,768,No
16573377,Seven Seeds,"Coffee and Tea, Cafe Food",Carlton,Melbourne,4.4,945,No
16581462,The Grain Store,"European, Coffee and Tea, Cafe Food",CBD,Melbourne,4.5,800,No
16573759,Le Petit Gateau,"French, Desserts, Coffee and Tea",CBD,Melbourne,4.9,350,No
16572962,+39 Pizzeria,"Pizza, Italian",CBD,Melbourne,4.6,808,No
16571189,Cumulus Inc.,"Modern European, Contemporary",CBD,Melbourne,4.7,1124,No
16571938,MoVida Bar De Tapas,"Spanish, Tapas",CBD,Melbourne,4.7,899,No
18138489,Brick Lane,"Cafe Food, Coffee and Tea",CBD,Melbourne,4.5,383,No
16572612,Vue de monde,"Australian, Contemporary",CBD,Melbourne,4.9,986,No
16571240,DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",Carlton,Melbourne,4.6,924,No
18584637,Dodee Paidang,Thai,CBD,Melbourne,4.6,473,Yes
16581252,Industry Beans,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,624,Yes
16586014,Minamishima,"Japanese, Sushi",Richmond,Melbourne,4.9,293,No
16574687,Journeyman,"Coffee and Tea, Cafe Food",Windsor,Melbourne,4.7,837,No
16572269,Sakura Kaiten Sushi,"Sushi, Japanese",CBD,Melbourne,4.6,436,No
16578793,Patricia Coffee Brewers,Coffee and Tea,CBD,Melbourne,4.9,364,No
17881527,Dexter,"American, BBQ",Preston,Melbourne,4.9,683,No
16576154,Naked For Satan,Bar Food,Fitzroy,Melbourne,4.6,874,No
16582574,Hinoki Japanese Pantry,"Japanese, Sushi",Fitzroy,Melbourne,4.9,272,No
18418602,Shanklin Cafe,"Modern Australian, Coffee and Tea, Cafe Food",Hawthorn,Melbourne,4.8,523,Yes
16576105,Guhng,"Korean, Korean BBQ",CBD,Melbourne,4.4,440,No
16572688,Brother Baba Budan,Coffee and Tea,CBD,Melbourne,4.6,544,No
16585008,Addict Food & Coffee,"Coffee and Tea, Cafe Food",Fitzroy,Melbourne,4.6,567,No
16579706,Gypsy & Pig,Japanese,CBD,Melbourne,4.5,274,No
16572320,Shira Nui,"Sushi, Japanese",Glen Waverley,Melbourne,4.8,422,No
16586349,Little Rogue,Coffee and Tea,CBD,Melbourne,4.7,332,No
16586666,Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",Carlton,Melbourne,4.6,461,No
16579873,Shimbashi Soba & Sake Bar,"Japanese, Tapas",CBD,Melbourne,4.6,368,No
16576912,Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",CBD,Melbourne,4.5,724,No
18303417,White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",CBD,Melbourne,4.2,707,Yes
16575201,Three Bags Full,"Coffee and Tea, Cafe Food",Abbotsford,Melbourne,4.5,1105,Yes
16571861,The Meat & Wine Co,"BBQ, Steak, Modern Australian","Freshwater Place, Southbank",Melbourne,4.4,933,No
18316732,The Crux & Co,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,4.4,439,No
16576959,La Belle Miette,"Desserts, French, Coffee and Tea",CBD,Melbourne,4.8,478,No
16713155,Mörk Chocolate Brew House,Desserts,North Melbourne,Melbourne,4.6,296,No
16585490,The Glass Den,"Coffee and Tea, Cafe Food",Coburg,Melbourne,4.4,608,No
16577335,Chez Dré,"Cafe Food, Bakery, Patisserie",South Melbourne,Melbourne,4.4,1184,Yes
17989264,Faraday's Cage,"Bakery, Coffee and Tea, Cafe Food",Fitzroy,Melbourne,4.7,380,No
16570776,Auction Rooms,"Coffee and Tea, Cafe Food",North Melbourne,Melbourne,4.4,1080,No
17849632,Hash Specialty Coffee,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.2,662,Yes
16571812,Maha Restaurant,Middle Eastern,CBD,Melbourne,4.7,931,No
16584504,Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",CBD,Melbourne,4.6,540,Yes
16582263,Gelato Messina,"Ice Cream, Desserts",Fitzroy,Melbourne,4.9,835,No
16576477,Purple Peanuts Japanese Cafe,"Japanese, Sushi",CBD,Melbourne,4.6,490,Yes
16578925,Hell of the North,"French, European",Fitzroy,Melbourne,4.7,418,No
16585312,The Kettle Black,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,4.2,905,No
16577469,Joomak,Korean,CBD,Melbourne,4.4,322,Yes
16579337,Aka Siro,Japanese,Collingwood,Melbourne,4.8,237,No
16570775,Attica,"Australian, Contemporary",Ripponlea,Melbourne,4.8,495,No
16572325,Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",CBD,Melbourne,4.7,388,No
18567985,Miznon,"Israeli, Mediterranean, Middle Eastern",CBD,Melbourne,4.5,367,No
16579424,Breakfast Thieves,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,471,No
16571710,Laksa King,"Malaysian, Chinese",Flemington,Melbourne,4.6,1302,No
16576466,Darac Grill & Bar,"Korean, Asian",CBD,Melbourne,4.4,413,Yes
16573473,Peko Peko,"Taiwanese, Japanese, Asian",South Melbourne,Melbourne,4.6,514,Yes
16577331,Burch & Purchese Sweet Studio,Desserts,South Yarra,Melbourne,4.8,484,No
16579439,CJ Lunch Bar,"Korean, Asian, Hot Pot",CBD,Melbourne,4.5,334,No
16573419,Coda,"Asian, Fusion",CBD,Melbourne,4.6,562,No
18198271,Ichi Ni Nana Izakaya,"Sushi, Japanese",Fitzroy,Melbourne,4.4,384,Yes
16583132,Wagyu Ya,"Japanese, Steak, Japanese BBQ",South Yarra,Melbourne,4.7,389,No
16577621,Komeyui,"Japanese, Japanese BBQ",South Melbourne,Melbourne,4.7,247,No
16573067,Cutler & Co,Modern Australian,Fitzroy,Melbourne,4.7,569,No
16713830,Bibelot,"Desserts, Ice Cream, Cafe Food, Coffee and Tea",South Melbourne,Melbourne,4.8,427,No
17849363,Grand Lafayette,"Cafe Food, Japanese, Coffee and Tea",Prahran,Melbourne,4.1,422,No
18097646,Agathé Pâtisserie,"Bakery, Patisserie","South Melbourne Market, South Melbourne",Melbourne,4.9,319,No
16574818,Proud Mary,"Coffee and Tea, Cafe Food",Collingwood,Melbourne,4.5,894,No
16571988,Nobu,Japanese,"Crown Melbourne, Southbank",Melbourne,4.5,1022,No
16576672,LuxBite,"Desserts, Coffee and Tea, Cafe Food",South Yarra,Melbourne,4.5,598,No
16582655,Om Nom Kitchen - Adelphi Hotel,"Desserts, Modern Australian",CBD,Melbourne,4.3,484,No
16572155,Punch Lane,"Mediterranean, Modern Australian",CBD,Melbourne,4.8,430,No
16583248,Pidapipó,"Ice Cream, Desserts",Carlton,Melbourne,4.9,525,No
16571628,Kenzan Japanese,"Japanese, Sushi",Collins Place,Melbourne,4.6,262,No
16572235,Rockpool Bar & Grill,"Seafood, Steak, Australian","Crown Melbourne, Southbank",Melbourne,4.5,1094,No
16581841,Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",CBD,Melbourne,4.4,470,No
16574121,Don Don,"Japanese, Asian",CBD,Melbourne,4.6,692,Yes
16582908,Mugen Ramen & Bar,"Japanese, Ramen",CBD,Melbourne,4.4,349,No
16586156,The Grand Trailer Park Taverna,"Burger, American",CBD,Melbourne,4.4,668,Yes
16579874,Two Birds One Stone,"Coffee and Tea, Modern Australian, Cafe Food",South Yarra,Melbourne,4.4,684,No
16573068,HuTong Dumpling Bar,Chinese,CBD,Melbourne,4.3,1167,No
